Concelho,Neighboring_Concelhos
Peso da Régua,"['Baião', 'Mesão Frio', 'Sabrosa', 'Santa Marta de Penaguião', 'Vila Real', 'Armamar', 'Lamego']"
Ribeira de Pena,"['Cabeceiras de Basto', 'Boticas', 'Mondim de Basto', 'Vila Pouca de Aguiar', 'Vila Real']"
Sabrosa,"['Alijó', 'Peso da Régua', 'Vila Pouca de Aguiar', 'Vila Real', 'Armamar', 'São João da Pesqueira', 'Tabuaço']"
Santa Marta de Penaguião,"['Amarante', 'Baião', 'Peso da Régua', 'Vila Real']"
Valpaços,"['Mirandela', 'Vinhais', 'Chaves', 'Murça', 'Vila Pouca de Aguiar']"
Vila Pouca de Aguiar,"['Alijó', 'Boticas', 'Chaves', 'Murça', 'Ribeira de Pena', 'Sabrosa', 'Valpaços', 'Vila Real']"
Vila Real,"['Amarante', 'Mondim de Basto', 'Peso da Régua', 'Ribeira de Pena', 'Sabrosa', 'Santa Marta de Penaguião', 'Vila Pouca de Aguiar']"
Armamar,"['Peso da Régua', 'Sabrosa', 'Lamego', 'Moimenta da Beira', 'Tabuaço', 'Tarouca']"
Carregal do Sal,"['Oliveira do Hospital', 'Tábua', 'Nelas', 'Santa Comba Dão', 'Tondela', 'Viseu']"
Castro Daire,"['Arouca', 'Cinfães', 'Lamego', 'Moimenta da Beira', 'Resende', 'São Pedro do Sul', 'Tarouca', 'Vila Nova de Paiva', 'Viseu']"
Cinfães,"['Arouca', 'Castelo de Paiva', 'Baião', 'Marco de Canaveses', 'Castro Daire', 'Resende']"
Lamego,"['Mesão Frio', 'Peso da Régua', 'Armamar', 'Castro Daire', 'Resende', 'Tarouca']"
Mangualde,"['Fornos de Algodres', 'Gouveia', 'Seia', 'Nelas', 'Penalva do Castelo', 'Viseu']"
Moimenta da Beira,"['Armamar', 'Castro Daire', 'Sátão', 'Sernancelhe', 'Tabuaço', 'Tarouca', 'Vila Nova de Paiva']"
Mortágua,"['Águeda', 'Anadia', 'Mealhada', 'Penacova', 'Santa Comba Dão', 'Tondela']"
Nelas,"['Oliveira do Hospital', 'Seia', 'Carregal do Sal', 'Mangualde', 'Viseu']"
Oliveira de Frades,"['Águeda', 'Sever do Vouga', 'Vale de Cambra', 'São Pedro do Sul', 'Tondela', 'Vouzela']"
Penalva do Castelo,"['Aguiar da Beira', 'Fornos de Algodres', 'Mangualde', 'Sátão', 'Viseu']"
Penedono,"['Mêda', 'Trancoso', 'Vila Nova de Foz Côa', 'São João da Pesqueira', 'Sernancelhe']"
Resende,"['Baião', 'Mesão Frio', 'Castro Daire', 'Cinfães', 'Lamego']"
Sátão,"['Aguiar da Beira', 'Moimenta da Beira', 'Penalva do Castelo', 'Sernancelhe', 'Vila Nova de Paiva', 'Viseu']"
São João da Pesqueira,"['Carrazeda de Ansiães', 'Vila Nova de Foz Côa', 'Alijó', 'Sabrosa', 'Penedono', 'Sernancelhe', 'Tabuaço']"
São Pedro do Sul,"['Arouca', 'Vale de Cambra', 'Castro Daire', 'Oliveira de Frades', 'Viseu', 'Vouzela']"
Santa Comba Dão,"['Penacova', 'Tábua', 'Carregal do Sal', 'Mortágua', 'Tondela']"
Sernancelhe,"['Aguiar da Beira', 'Mêda', 'Trancoso', 'Moimenta da Beira', 'Penedono', 'Sátão', 'São João da Pesqueira', 'Tabuaço']"
Tabuaço,"['Sabrosa', 'Armamar', 'Moimenta da Beira', 'São João da Pesqueira', 'Sernancelhe']"
Tarouca,"['Armamar', 'Castro Daire', 'Lamego', 'Moimenta da Beira']"
Tondela,"['Águeda', 'Carregal do Sal', 'Mortágua', 'Oliveira de Frades', 'Santa Comba Dão', 'Viseu', 'Vouzela']"
Vila Nova de Paiva,"['Castro Daire', 'Moimenta da Beira', 'Sátão', 'Viseu']"
Viseu,"['Carregal do Sal', 'Castro Daire', 'Mangualde', 'Nelas', 'Penalva do Castelo', 'Sátão', 'São Pedro do Sul', 'Tondela', 'Vila Nova de Paiva', 'Vouzela']"
Vouzela,"['Águeda', 'Oliveira de Frades', 'São Pedro do Sul', 'Tondela', 'Viseu']"
