Concelho,Neighboring_Concelhos
Póvoa de Lanhoso,"['Amares', 'Braga', 'Guimarães', 'Fafe', 'Vieira do Minho']"
Terras de Bouro,"['Amares', 'Vieira do Minho', 'Vila Verde', 'Ponte da Barca', 'Montalegre']"
Vieira do Minho,"['Amares', 'Cabeceiras de Basto', 'Fafe', 'Póvoa de Lanhoso', 'Terras de Bouro', 'Montalegre']"
Vila Nova de Famalicão,"['Barcelos', 'Braga', 'Guimarães', 'Póvoa de Varzim', 'Santo Tirso', 'Trofa', 'Vila do Conde']"
Vila Verde,"['Amares', 'Barcelos', 'Braga', 'Terras de Bouro', 'Ponte da Barca', 'Ponte de Lima']"
Vizela,"['Guimarães', 'Felgueiras', 'Lousada', 'Santo Tirso']"
Alfândega da Fé,"['Macedo de Cavaleiros', 'Mirandela', 'Mogadouro', 'Torre de Moncorvo', 'Vila Flor']"
Bragança,"['Macedo de Cavaleiros', 'Vimioso', 'Vinhais']"
Carrazeda de Ansiães,"['Mirandela', 'Torre de Moncorvo', 'Vila Flor', 'Vila Nova de Foz Côa', 'Alijó', 'Murça', 'São João da Pesqueira']"
Freixo de Espada à Cinta,"['Mogadouro', 'Torre de Moncorvo', 'Figueira de Castelo Rodrigo', 'Vila Nova de Foz Côa']"
Macedo de Cavaleiros,"['Alfândega da Fé', 'Bragança', 'Mirandela', 'Mogadouro', 'Vimioso', 'Vinhais']"
Miranda do Douro,"['Mogadouro', 'Vimioso']"
Mirandela,"['Alfândega da Fé', 'Carrazeda de Ansiães', 'Macedo de Cavaleiros', 'Vila Flor', 'Vinhais', 'Murça', 'Valpaços']"
Mogadouro,"['Alfândega da Fé', 'Freixo de Espada à Cinta', 'Macedo de Cavaleiros', 'Miranda do Douro', 'Torre de Moncorvo', 'Vimioso']"
Torre de Moncorvo,"['Alfândega da Fé', 'Carrazeda de Ansiães', 'Freixo de Espada à Cinta', 'Mogadouro', 'Vila Flor', 'Vila Nova de Foz Côa']"
Vila Flor,"['Alfândega da Fé', 'Carrazeda de Ansiães', 'Mirandela', 'Torre de Moncorvo']"
Vimioso,"['Bragança', 'Macedo de Cavaleiros', 'Miranda do Douro', 'Mogadouro']"
Vinhais,"['Bragança', 'Macedo de Cavaleiros', 'Mirandela', 'Chaves', 'Valpaços']"
Belmonte,"['Covilhã', 'Fundão', 'Guarda', 'Sabugal']"
Castelo Branco,"['Fundão', 'Idanha-a-Nova', 'Oleiros', 'Proença-a-Nova', 'Vila Velha de Ródão']"
Covilhã,"['Belmonte', 'Fundão', 'Arganil', 'Pampilhosa da Serra', 'Guarda', 'Manteigas', 'Seia']"
Fundão,"['Belmonte', 'Castelo Branco', 'Covilhã', 'Idanha-a-Nova', 'Oleiros', 'Penamacor', 'Pampilhosa da Serra', 'Sabugal']"
Idanha-a-Nova,"['Castelo Branco', 'Fundão', 'Penamacor']"
Oleiros,"['Castelo Branco', 'Fundão', 'Proença-a-Nova', 'Sertã', 'Pampilhosa da Serra']"
Penamacor,"['Fundão', 'Idanha-a-Nova', 'Sabugal']"
